sep=\t
Module Resource Usage Distribution Estimates
Generated at: Aug 29, 2024 14:41:47

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
sha_uart:sha_uart                                           	   1853(18)	     610(0)	  2854(130)	   448(0)	     0(0)	
 +useone:sha_256_fsm_v1                                     	   780(780)	   480(480)	 1142(1142)	     0(0)	     0(0)	
 +useuart:uart_tx                                           	     30(30)	       0(0)	     48(48)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	 1025(1025)	   130(130)	 1534(1534)	 448(448)	     0(0)	
